,0
domain_entropy,8653
typosquatting_similarity,8232
domain_vowel_ratio,7629
domain_url_ratio,6738
path_entropy,5518
path_length,5274
path_url_ratio,5179
url_entropy,4850
url_length,4623
domain_bigram_diversity,4613
num_letters,4320
longest_token_length,4240
num_path_segments,4227
subdomain_length,4074
digit_letter_ratio,3948
num_dots,3683
domain_length,2560
uppercase_ratio,2518
tld_length,2490
consecutive_consonants,2424
num_digits,2229
num_hyphens,2218
domain_trigram_diversity,2162
num_repeated_chars,2090
query_url_ratio,1725
host_entropy,1659
special_char_ratio,1634
domain_digit_ratio,1423
is_high_trust_tld,1362
num_underscores,1328
num_subdomains,1287
num_suspicious_words,1129
is_country_tld,943
query_length,924
uses_https,759
suspicious_prefix_suffix,664
tld_trust_category,631
num_special_chars,608
is_shortening_service,570
num_query_params,493
path_has_suspicious_ext,483
num_encoded_chars,409
is_suspicious_tld,377
action_word,367
brand_not_in_domain,363
is_mixed_case,267
has_brand_name,263
sensitive_word,254
domain_is_dictionary_word,216
suspicious_word,200
num_fragments,178
query_has_redirect,133
brand_impersonation,122
is_typosquatting,122
domain_has_digits,112
has_ip,111
subdomain_count_dot,107
has_port,83
brand_not_in_main_domain,72
brand_with_hyphen,45
has_multiple_subdomains,42
num_suspicious_symbols,20
punycode_domain,14
suspicious_tld_brand_combo,9
multiple_brands_in_domain,0
has_character_substitution,0
