,0
path_has_suspicious_ext,0.16487165
num_query_params,0.12620452
suspicious_word,0.07230279
uses_https,0.07108036
num_repeated_chars,0.05044279
path_url_ratio,0.047718544
num_suspicious_words,0.044507258
digit_letter_ratio,0.031149399
has_ip,0.023184367
subdomain_length,0.019632062
is_high_trust_tld,0.019202568
domain_digit_ratio,0.01770074
consecutive_consonants,0.017391285
num_digits,0.014489061
typosquatting_similarity,0.014017493
has_multiple_subdomains,0.013775389
num_subdomains,0.013285589
num_path_segments,0.01280342
path_length,0.0112060625
query_url_ratio,0.010901508
num_hyphens,0.009744526
suspicious_prefix_suffix,0.009211635
domain_is_dictionary_word,0.008724598
url_length,0.0080632605
query_length,0.007952263
multiple_brands_in_domain,0.0075747794
uppercase_ratio,0.0074885036
has_brand_name,0.0074508344
path_entropy,0.007154612
num_encoded_chars,0.0068806345
special_char_ratio,0.00681277
tld_trust_category,0.006738549
is_mixed_case,0.0065928544
suspicious_tld_brand_combo,0.0063078096
brand_not_in_domain,0.006252236
num_letters,0.0059304093
domain_url_ratio,0.0056268717
num_dots,0.0052341036
action_word,0.0047573047
subdomain_count_dot,0.0043805554
tld_length,0.00402358
num_underscores,0.0037836607
query_has_redirect,0.0035673063
num_special_chars,0.0034344257
domain_length,0.0032309433
url_entropy,0.0031243467
brand_not_in_main_domain,0.0031147078
is_suspicious_tld,0.0030849539
domain_has_digits,0.0030748984
is_country_tld,0.0030671647
is_typosquatting,0.0029467954
domain_trigram_diversity,0.0028519481
longest_token_length,0.0027253982
domain_vowel_ratio,0.0026138064
num_fragments,0.0025584647
sensitive_word,0.0024893745
is_shortening_service,0.002427429
brand_impersonation,0.0024241847
host_entropy,0.002161056
domain_bigram_diversity,0.0020729655
domain_entropy,0.0020450228
has_port,0.0018975899
punycode_domain,0.0010555431
brand_with_hyphen,0.0007565237
num_suspicious_symbols,0.0007219896
has_character_substitution,0.0
