,0
path_has_suspicious_ext,0.21997653
uses_https,0.1607511
digit_letter_ratio,0.05375108
suspicious_word,0.04592283
num_repeated_chars,0.045835957
has_ip,0.04237054
num_suspicious_words,0.035072714
consecutive_consonants,0.03189697
path_length,0.025793351
num_query_params,0.023291498
subdomain_length,0.019455187
is_high_trust_tld,0.01700693
domain_digit_ratio,0.015956488
num_subdomains,0.015441074
action_word,0.014072295
suspicious_prefix_suffix,0.0120283095
path_url_ratio,0.011407161
url_length,0.010015735
typosquatting_similarity,0.009961508
num_hyphens,0.008719698
num_digits,0.008309295
special_char_ratio,0.008018897
num_path_segments,0.007453135
domain_is_dictionary_word,0.00708382
uppercase_ratio,0.006496044
subdomain_count_dot,0.0060760393
query_length,0.0059303227
query_url_ratio,0.005907022
multiple_brands_in_domain,0.005713849
num_dots,0.0055556465
brand_not_in_domain,0.0054433206
query_has_redirect,0.0054393285
tld_trust_category,0.0054298947
num_encoded_chars,0.00510458
num_special_chars,0.0048960918
num_letters,0.0048179044
path_entropy,0.004801902
suspicious_tld_brand_combo,0.004787232
is_mixed_case,0.004490834
brand_not_in_main_domain,0.0043385024
has_brand_name,0.0042320206
domain_trigram_diversity,0.0040093535
url_entropy,0.0039287894
domain_url_ratio,0.00367163
num_underscores,0.003570057
domain_vowel_ratio,0.003485645
domain_length,0.0034373207
tld_length,0.0033541534
is_country_tld,0.0033419942
host_entropy,0.003214944
is_suspicious_tld,0.0029774026
longest_token_length,0.0027804642
is_shortening_service,0.0027522817
domain_entropy,0.0026816921
domain_has_digits,0.0024753602
sensitive_word,0.002453279
is_typosquatting,0.0023053142
has_port,0.0021243598
domain_bigram_diversity,0.0021154839
brand_impersonation,0.0017895378
punycode_domain,0.0017827763
has_multiple_subdomains,0.0013690466
brand_with_hyphen,0.0013265007
has_character_substitution,0.0
num_fragments,0.0
num_suspicious_symbols,0.0
