,0
domain_entropy,8882
typosquatting_similarity,8439
domain_vowel_ratio,7710
domain_url_ratio,7032
path_entropy,5478
path_length,5433
path_url_ratio,5086
url_entropy,4795
url_length,4382
domain_bigram_diversity,4355
longest_token_length,4338
num_letters,4309
num_path_segments,4133
digit_letter_ratio,3905
subdomain_length,3830
num_dots,3459
uppercase_ratio,2683
tld_length,2609
domain_length,2562
consecutive_consonants,2541
num_hyphens,2205
domain_trigram_diversity,2172
num_repeated_chars,2109
num_digits,2026
host_entropy,1698
query_url_ratio,1663
special_char_ratio,1613
domain_digit_ratio,1444
num_underscores,1426
is_high_trust_tld,1326
num_subdomains,1322
num_suspicious_words,1024
is_country_tld,948
query_length,928
tld_trust_category,738
uses_https,706
num_special_chars,553
suspicious_prefix_suffix,536
is_shortening_service,507
path_has_suspicious_ext,479
num_query_params,478
has_brand_name,440
domain_is_dictionary_word,437
action_word,412
num_encoded_chars,398
is_suspicious_tld,326
is_mixed_case,306
brand_impersonation,297
brand_not_in_domain,224
sensitive_word,223
num_fragments,174
suspicious_word,161
query_has_redirect,116
domain_has_digits,108
has_ip,99
has_port,78
subdomain_count_dot,71
suspicious_tld_brand_combo,68
is_typosquatting,66
brand_with_hyphen,49
has_multiple_subdomains,45
punycode_domain,40
num_suspicious_symbols,0
