,0
domain_entropy,9544
domain_vowel_ratio,7967
domain_url_ratio,7402
path_entropy,6051
path_length,5647
url_entropy,5335
path_url_ratio,5251
url_length,5060
num_letters,4724
domain_bigram_diversity,4649
longest_token_length,4562
num_path_segments,4541
digit_letter_ratio,4297
subdomain_length,4130
num_dots,3744
uppercase_ratio,2859
consecutive_consonants,2685
tld_length,2654
domain_length,2604
num_hyphens,2398
num_digits,2394
num_repeated_chars,2374
domain_trigram_diversity,2303
query_url_ratio,1851
special_char_ratio,1846
host_entropy,1690
domain_digit_ratio,1615
num_underscores,1501
is_high_trust_tld,1426
num_subdomains,1411
num_suspicious_words,1051
is_country_tld,995
query_length,980
uses_https,753
tld_trust_category,689
num_special_chars,654
is_shortening_service,645
suspicious_prefix_suffix,591
has_brand_name,577
num_query_params,574
domain_is_dictionary_word,540
path_has_suspicious_ext,483
num_encoded_chars,412
action_word,385
brand_not_in_domain,348
is_suspicious_tld,326
is_mixed_case,297
sensitive_word,272
num_fragments,188
suspicious_word,157
query_has_redirect,136
domain_has_digits,110
has_ip,106
subdomain_count_dot,76
has_port,75
has_multiple_subdomains,43
punycode_domain,22
num_suspicious_symbols,0
