,0
domain_entropy,8506
typosquatting_similarity,8398
domain_vowel_ratio,7525
domain_url_ratio,6661
path_entropy,5559
path_length,5341
path_url_ratio,5051
url_entropy,4688
url_length,4645
domain_bigram_diversity,4554
num_letters,4393
longest_token_length,4342
num_path_segments,4314
subdomain_length,4088
digit_letter_ratio,4040
num_dots,3683
tld_length,2608
domain_length,2508
consecutive_consonants,2479
uppercase_ratio,2450
num_hyphens,2230
num_digits,2189
domain_trigram_diversity,2160
num_repeated_chars,2058
host_entropy,1751
query_url_ratio,1710
special_char_ratio,1678
domain_digit_ratio,1416
num_underscores,1333
is_high_trust_tld,1328
num_subdomains,1285
num_suspicious_words,1161
is_country_tld,892
query_length,873
uses_https,752
tld_trust_category,653
suspicious_prefix_suffix,648
num_special_chars,588
is_shortening_service,537
num_query_params,525
path_has_suspicious_ext,493
num_encoded_chars,444
is_suspicious_tld,386
action_word,364
brand_not_in_domain,356
has_brand_name,272
sensitive_word,268
is_mixed_case,258
domain_is_dictionary_word,205
suspicious_word,190
num_fragments,187
has_ip,140
is_typosquatting,134
query_has_redirect,123
brand_impersonation,119
domain_has_digits,97
subdomain_count_dot,87
has_port,83
has_multiple_subdomains,49
brand_with_hyphen,48
brand_not_in_main_domain,48
num_suspicious_symbols,18
suspicious_tld_brand_combo,17
punycode_domain,14
multiple_brands_in_domain,0
has_character_substitution,0
